protein_name	model	val_auroc	val_auprc	test_auroc	test_auprc	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed
LIN28A	random_forest	0.9887591437638611	0.9771319034648981	0.9864663761689983	0.9725441540131039	5706	1901	1871	5169	11184	0
Lm_0212	logistic_regression	0.993990058826546	0.9851739948674243	0.9915069189364012	0.9781393135437676	6803	2265	2240	5265	11470	0
Lm_0212	random_forest	0.9976886954865462	0.9938600404517501	0.9965809596414628	0.991591723949591	6803	2265	2240	5265	11470	0
Lm_0223	logistic_regression	0.9904132598959453	0.9790751120967163	0.990435421434828	0.9745631872587309	6777	2225	2211	5554	12029	0
Lm_0223	random_forest	0.9923649742619965	0.978087583887828	0.9937969163534985	0.983735613173242	6777	2225	2211	5554	12029	0
Lm_0254	logistic_regression	0.992691273578045	0.9841711630884822	0.9909313686456873	0.9768737745490106	6488	2116	2172	5247	11319	0
Lm_0254	random_forest	0.9965840664569455	0.992103910124752	0.9941493343101032	0.9847197695884732	6488	2116	2172	5247	11319	0
Lm_0255	logistic_regression	0.990945717317122	0.9888139988814757	0.9948111234512701	0.9936367519081316	4494	1499	1491	4884	10674	0
Lm_0255	random_forest	0.986959825653084	0.9817857240115396	0.9904570105724713	0.9888121557341977	4494	1499	1491	4884	10674	0
MAL13P1.35	logistic_regression	0.9914112493226417	0.9711876262960705	0.9934147896488179	0.9859491912307834	7067	2381	2334	6151	13285	0
MAL13P1.35	random_forest	0.9970995366564988	0.992833494908175	0.9969884611933888	0.9933818055848573	7067	2381	2334	6151	13285	0
MAL8P1.40	logistic_regression	0.9884420485175203	0.9852314860875059	0.9835785714285715	0.9770371589179322	5503	1845	1850	5519	12008	0
MAL8P1.40	random_forest	0.9929979035639414	0.9891194910790606	0.9918440476190477	0.9892719258719457	5503	1845	1850	5519	12008	0
MATR3	logistic_regression	0.9910492029023887	0.9842748123384846	0.9862983650059921	0.9758536715588122	3860	1268	1264	3395	7389	0
MATR3	random_forest	0.9938138869763254	0.9881457368054658	0.990377824858757	0.9837440202324806	3860	1268	1264	3395	7389	0
MBNL1	logistic_regression	0.9860104465367623	0.9629000057461816	0.9838690621379353	0.9627494862612942	4564	1544	1554	4040	8597	0
