protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
PABPC5	logistic_regression	0.92225	0.8662915018950135	0.9189625	0.8761053219235944	0.8483333333333334	0.7878787878787878	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
PCBP1	random_forest	0.96105	0.9400586861825396	0.96585	0.960759237074562	0.9133333333333332	0.8767772511848341	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
PUM1	random_forest	0.8136875	0.6834914156034928	0.844725	0.7430885058771146	0.7533333333333333	0.6390243902439025	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
PUM2	random_forest	0.9928125	0.9870829219527648	0.9958375	0.991607595238302	0.9566666666666668	0.9375	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
QKI	logistic_regression	0.9486625	0.9237481479377536	0.945075	0.9200686744791142	0.8733333333333333	0.8215962441314554	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RALY	random_forest	0.9614375	0.9578106412036708	0.96925	0.9623147320269176	0.955	0.9298701298701298	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBFOX1	logistic_regression	0.963175	0.9383552044918322	0.97595	0.9605362322881724	0.915	0.871536523929471	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBFOX1-construct2	random_forest	0.884375	0.8170194390569373	0.8707374999999999	0.8103149276443156	0.8266666666666667	0.7450980392156863	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBFOX1-construct4	random_forest	0.980075	0.9783087415867	0.9840625	0.9836778412272048	0.9683333333333334	0.9523809523809524	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBFOX3	logistic_regression	0.9751375	0.957812215814352	0.988025	0.978375760853318	0.9266666666666666	0.8916256157635468	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBM14	random_forest	0.957375	0.9412939084664464	0.9634	0.9416650882906166	0.9066666666666666	0.8613861386138614	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBM24	random_forest	0.9937875	0.992273481686236	0.9970375	0.9961385020846704	0.9833333333333332	0.9752475247524752	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBM28	random_forest	0.8944124999999998	0.8391257154675588	0.90295	0.8261837306878655	0.82	0.7403846153846154	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBM38	random_forest	0.9768375	0.9775788038397618	0.98525	0.9821958972519969	0.9633333333333334	0.9430051813471504	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBM4	random_forest	0.971625	0.962758626632384	0.9629875	0.9554628727662524	0.9333333333333332	0.8969072164948454	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBM42	logistic_regression	0.9921381578947368	0.9951648471888	0.993388429752066	0.9971089016639832	0.9857954545454546	0.9875930521091812	1050	321	352	1000	2000	0	26.0	honest_60_20_20	htr_selex
RBM46	random_forest	0.9611625	0.948125655996818	0.929925	0.9192353798790964	0.915	0.8721804511278195	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBM4B	random_forest	0.966575	0.9551351676702914	0.9544125	0.945834905911293	0.9366666666666666	0.903061224489796	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBM6	random_forest	0.92535	0.9106184764086293	0.934625	0.917649378920546	0.895	0.832	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBMS1	random_forest	0.9160875	0.852158121542551	0.9135375	0.8221557962426096	0.8583333333333333	0.7980997624703088	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBMS2	logistic_regression	0.8797875	0.7935136189632856	0.9172	0.8745056322877698	0.8116666666666666	0.7353629976580797	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBMS3	random_forest	0.8879750000000001	0.8467527866192579	0.88735	0.8652945196626868	0.85	0.7692307692307693	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBMY1E	logistic_regression	0.9239125	0.8669199493376386	0.9411375	0.8692552276070717	0.8533333333333334	0.7843137254901961	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBMY1F	random_forest	0.955575	0.9474763979185652	0.9393	0.9236017444892538	0.9183333333333332	0.8765743073047859	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
RBMY1J	random_forest	0.862525	0.7864195767654982	0.9196125	0.8467880706998374	0.7966666666666666	0.6789473684210526	1800	600	600	1000	2000	0	40.0	honest_60_20_20	htr_selex
