protein_name	model	val_auroc	val_auprc	test_auroc	test_auprc	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed
NOVA1	logistic_regression	0.9918250000000001	0.9823099357658137	0.9935875000000001	0.9830740329371528	1800	600	600	1000	2000	0
NOVA1	random_forest	0.998075	0.9952120915932515	0.999125	0.998237155399538	1800	600	600	1000	2000	0
NSUN2	logistic_regression	0.9996666666666666	0.9997994747375891	0.9994166666666666	0.9996491983768558	960	320	320	1000	600	0
NSUN2	random_forest	1.0	1.0	1.0	1.0	960	320	320	1000	600	0
NUPL2	logistic_regression	0.9840379403794037	0.9639563304070355	0.9768089430894309	0.938481658436226	1705	569	569	1000	1843	0
NUPL2	random_forest	0.988130081300813	0.9596550521024299	0.9837533875338753	0.9529153811874703	1705	569	569	1000	1843	0
PABPC3	logistic_regression	0.9844125	0.9587710801688591	0.98553125	0.9595464678911401	1800	600	600	1000	2000	0
PABPC3	random_forest	0.9904375	0.9731285108348389	0.9893125	0.9661114206319387	1800	600	600	1000	2000	0
PCBP1	logistic_regression	0.9987625	0.9974507843350847	0.9978874999999999	0.9960490615241039	1800	600	600	1000	2000	0
PCBP1	random_forest	0.9993000000000001	0.99837193823584	1.0	1.0	1800	600	600	1000	2000	0
PCBP2	logistic_regression	0.99795	0.995233965262823	0.9948874999999999	0.9848096221441498	1800	600	600	1000	2000	0
PCBP2	random_forest	0.998275	0.9952018515828711	0.9946625	0.9759319625368028	1800	600	600	1000	2000	0
PCBP4	logistic_regression	0.9899698795180722	0.9792246981418735	0.987710843373494	0.9712812533925997	1596	532	532	1000	1660	0
PCBP4	random_forest	0.9884789156626506	0.9696298379824527	0.993237951807229	0.975929361359082	1596	532	532	1000	1660	0
PRR3	logistic_regression	0.9891463414634146	0.9768580594259123	0.9743089430894308	0.9426425164098435	1705	569	569	1000	1843	0
PRR3	random_forest	0.9954471544715447	0.9889742969739896	0.9901084010840109	0.9742189534217182	1705	569	569	1000	1843	0
PUF60	logistic_regression	0.9948374999999999	0.9894000497295925	0.9952749999999999	0.9898139409546006	1800	600	600	1000	2000	0
PUF60	random_forest	0.9973125	0.9929447426738098	0.9964625	0.9898209231954428	1800	600	600	1000	2000	0
PUM1	logistic_regression	0.975975	0.9382179871369543	0.98570625	0.9398758913212233	1800	600	600	1000	2000	0
PUM1	random_forest	0.98615	0.9586888811859127	0.9915125	0.9677575666187741	1800	600	600	1000	2000	0
RALYL	logistic_regression	0.9933875	0.9841071252238317	0.9955375000000001	0.9906406439320274	1800	600	600	1000	2000	0
RALYL	random_forest	0.99705	0.9922342516092444	0.9970375	0.9914295529649992	1800	600	600	1000	2000	0
RBFOX2	logistic_regression	0.99095	0.9709721970398116	0.9888875	0.9685638372446483	1800	600	600	1000	2000	0
RBFOX2	random_forest	0.9946	0.9782647252565375	0.9924875	0.9764865147600887	1800	600	600	1000	2000	0
RBFOX3	logistic_regression	0.989775	0.9802167819302635	0.9943	0.9680639839518254	1800	600	600	1000	2000	0
RBFOX3	random_forest	0.9958125	0.9887172119281159	0.998225	0.9949678934446841	1800	600	600	1000	2000	0
RBM11	logistic_regression	0.9985875	0.9960951419088034	0.9986125	0.9962983984368932	1800	600	600	1000	2000	0
RBM11	random_forest	0.9990875	0.9978484854400602	0.999225	0.9981613816738044	1800	600	600	1000	2000	0
RBM15B	logistic_regression	0.99085625	0.9728658723642674	0.9959375	0.9910238385944801	1800	600	600	1000	2000	0
RBM15B	random_forest	0.9917125	0.9780213425835145	0.9983625	0.9960685586444138	1800	600	600	1000	2000	0
RBM22	logistic_regression	0.9964124999999999	0.9906454348698244	0.9961625000000001	0.9876759313326919	1800	600	600	1000	2000	0
RBM22	random_forest	0.99945	0.9988894539425415	0.997025	0.9894481556152526	1800	600	600	1000	2000	0
RBM23	logistic_regression	0.9938375	0.9766241923629386	0.9904875	0.9755678265197631	1800	600	600	1000	2000	0
RBM23	random_forest	0.9956625	0.9769776704146758	0.996025	0.9838951979560351	1800	600	600	1000	2000	0
RBM24	logistic_regression	0.9933375	0.9783398425670268	0.9934000000000001	0.9814533562089577	1800	600	600	1000	2000	0
RBM24	random_forest	0.998575	0.9970513474588374	0.9978875	0.9953560437761456	1800	600	600	1000	2000	0
RBM25	logistic_regression	0.996275	0.989571265548636	0.9988625	0.9977281858224601	1800	600	600	1000	2000	0
RBM25	random_forest	0.9992875000000001	0.9983374554772193	1.0	1.0	1800	600	600	1000	2000	0
