protein_name	best_model	auroc	auprc	val_auroc	val_auprc	accuracy	f1	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed	rna_length_mode	split_mode	dataset
PK20770.1	logistic_regression	0.9951629303821414	0.9861792427052765	0.9967591278849791	0.9918849196092941	0.9782220635487326	0.9659408151870463	8403	2801	2801	4405	9600	0		honest_60_20_20	rnacompete_rbpzoo
PK21151.1	random_forest	0.9965141258461769	0.9910369898302145	0.9949483273558852	0.9846289626719398	0.964731814842028	0.9463087248322147	8163	2721	2722	4299	9307	0		honest_60_20_20	rnacompete_rbpzoo
PK21303.1	random_forest	0.9833864128187968	0.9554133474686229	0.980349233837465	0.9489363010470078	0.9279148524431543	0.8956582633053222	12401	4134	4134	6594	14075	0		honest_60_20_20	rnacompete_rbpzoo
PK21582.1	random_forest	0.9936792005757523	0.984647660547119	0.99285290664601	0.9812694691995795	0.9580552907530981	0.9377358490566038	9440	3147	3147	5005	10729	0		honest_60_20_20	rnacompete_rbpzoo
PK22404.1	random_forest	0.9922410734025575	0.9813876040106039	0.9925341522821137	0.9806649609479422	0.9430379746835443	0.9165120593692022	9477	3160	3160	4969	10828	0		honest_60_20_20	rnacompete_rbpzoo
PK23097.1	random_forest	0.9885464847875951	0.972338533801761	0.9845055794406068	0.9604440168076648	0.9519230769230769	0.9284380833851898	7175	2392	2392	3807	8152	0		honest_60_20_20	rnacompete_rbpzoo
PK23225.1	random_forest	0.9967007316744723	0.9910828302121519	0.9973884389218132	0.9929911489752585	0.9696290764251929	0.9538228614685844	12050	4017	4017	6304	13780	0		honest_60_20_20	rnacompete_rbpzoo
PK23842.1	random_forest	0.9880320140131187	0.9742908504957013	0.9824952482110914	0.960568060440326	0.9343724364232978	0.9029126213592233	7312	2438	2438	3871	8317	0		honest_60_20_20	rnacompete_rbpzoo
PK25912.1	random_forest	0.9876945441237764	0.9680457752004107	0.9874112936092585	0.9666145952039854	0.9326588681631363	0.9028727770177839	9487	3163	3163	5006	10807	0		honest_60_20_20	rnacompete_rbpzoo
PK26404.1	random_forest	0.9947274815557079	0.984537525605447	0.9970296012562556	0.9931079229663385	0.9554176072234764	0.9344398340248963	5313	1771	1772	2828	6028	0		honest_60_20_20	rnacompete_rbpzoo
PK27183.1	random_forest	0.9865054125215342	0.9656602183292866	0.9895549642469238	0.9742348811138731	0.9299926308032425	0.8995417694747974	12210	4071	4071	6430	13922	0		honest_60_20_20	rnacompete_rbpzoo
PK27602.1	random_forest	0.9941605472860537	0.9853009160078025	0.9946330540141387	0.9857397053836968	0.9588614631976874	0.9383127709236412	13490	4497	4497	7134	15350	0		honest_60_20_20	rnacompete_rbpzoo
PK27672.1	random_forest	0.9912511106452225	0.9792230001230747	0.9880973773797759	0.9692138178453297	0.9463992107859257	0.9207583859990277	9121	3041	3041	4826	10377	0		honest_60_20_20	rnacompete_rbpzoo
PK27686.1	random_forest	0.9946984699812674	0.9807925196327335	0.9959841646484844	0.9887061077425872	0.975287356321839	0.962280701754386	10438	3480	3480	5486	11912	0		honest_60_20_20	rnacompete_rbpzoo
PRR3	random_forest	0.9830965015407923	0.957275448672676	0.9838515821686227	0.9604979106725376	0.9321648815319702	0.897095027080256	9241	3081	3081	4891	10512	0		honest_60_20_20	rnacompete_rbpzoo
PTBP2	random_forest	0.9874811189656213	0.9739135841421614	0.9872190899579928	0.9668327147818606	0.9432071269487751	0.9137055837563451	8079	2694	2694	4274	9193	0		honest_60_20_20	rnacompete_rbpzoo
PUB1	random_forest	0.9914162008356951	0.9764692351709261	0.9937369090749422	0.98302127154467	0.9432687978388113	0.9182879377431906	6661	2221	2221	3537	7566	0		honest_60_20_20	rnacompete_rbpzoo
PUF60	random_forest	0.9953108156665469	0.9872076258627988	0.9953076238112573	0.9869465534417053	0.9572013397841459	0.9364289662797125	8058	2686	2687	4235	9196	0		honest_60_20_20	rnacompete_rbpzoo
RBFOX2	random_forest	0.9987552713740823	0.9968896074608093	0.9987253378715898	0.9967483449613977	0.9832368180432794	0.9740198393953708	9841	3281	3281	5167	11236	0		honest_60_20_20	rnacompete_rbpzoo
RBM24	random_forest	0.9977967195384312	0.9947092267664658	0.9972265509174294	0.992110882007496	0.9766454352441614	0.9639934533551555	11302	3768	3768	5930	12908	0		honest_60_20_20	rnacompete_rbpzoo
RBM34	random_forest	0.9793983822042467	0.9424199802927868	0.9811464050989456	0.9479073547546024	0.9287128712871288	0.8977272727272727	6059	2020	2020	3221	6878	0		honest_60_20_20	rnacompete_rbpzoo
RBM38	random_forest	0.9797208590743299	0.954742229087521	0.9802264148945744	0.9561981560459616	0.9196765498652291	0.8833202819107283	5564	1855	1855	3021	6253	0		honest_60_20_20	rnacompete_rbpzoo
RBM45	random_forest	0.9943618931048551	0.9860006563109616	0.993642390860873	0.9820690321719249	0.9557428872497366	0.9353049907578558	14233	4745	4745	7598	16125	0		honest_60_20_20	rnacompete_rbpzoo
RBM47	random_forest	0.9933520599250937	0.9826155299642009	0.9929672254342267	0.9815736326194752	0.9590373783922171	0.9388379204892966	11718	3906	3906	6181	13349	0		honest_60_20_20	rnacompete_rbpzoo
RBPMS2	random_forest	0.9896837132405015	0.9686115628677601	0.9881259470407779	0.961087749200803	0.9447442816756618	0.9193850768653918	11673	3891	3891	6162	13293	0		honest_60_20_20	rnacompete_rbpzoo
RNPC3	random_forest	0.9879562557522603	0.9664596042470142	0.9890888419684911	0.9679646161146149	0.9278450363196126	0.8978752570253599	6193	2065	2065	3273	7050	0		honest_60_20_20	rnacompete_rbpzoo
RS31A	random_forest	0.9871972836299094	0.9671984947136884	0.9870650996795814	0.9688849171885889	0.9483378256963163	0.9223497636731938	6675	2225	2226	3545	7581	0		honest_60_20_20	rnacompete_rbpzoo
SCHCODRAFT_104251	random_forest	0.986604269122312	0.9660471199483243	0.9881026699961581	0.9677249981243365	0.9353997682502897	0.9057879171947613	10354	3452	3452	5482	11776	0		honest_60_20_20	rnacompete_rbpzoo
