eclip_id	gt_out_folder	pos_bed	neg_bed	mode_settings	num_pos	min_pos	max_pos	mean_pos	median_pos	num_neg	min_neg	max_neg	mean_neg	median_neg
SAFB2_K562_ENCSR943MHU	rnaprot_gt_out/SAFB2_K562_ENCSR943MHU_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SAFB2_K562_ENCSR943MHU.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SAFB2_K562_ENCSR943MHU.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	3095	61	305	120.06688206785137	115	3095	61	305	119.91728594507269	115
SAFB_HepG2_ENCSR337XGI	rnaprot_gt_out/SAFB_HepG2_ENCSR337XGI_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SAFB_HepG2_ENCSR337XGI.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SAFB_HepG2_ENCSR337XGI.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	244	61	258	122.6311475409836	119.0	244	61	258	122.04098360655738	117.5
SAFB_K562_ENCSR484LAB	rnaprot_gt_out/SAFB_K562_ENCSR484LAB_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SAFB_K562_ENCSR484LAB.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SAFB_K562_ENCSR484LAB.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	424	61	250	119.4504716981132	116.5	424	61	250	119.49056603773585	116.0
SDAD1_HepG2_ENCSR050BDZ	rnaprot_gt_out/SDAD1_HepG2_ENCSR050BDZ_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SDAD1_HepG2_ENCSR050BDZ.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SDAD1_HepG2_ENCSR050BDZ.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	689	61	247	97.39187227866474	91	689	61	228	97.25544267053701	92
SERBP1_K562_ENCSR121GQH	rnaprot_gt_out/SERBP1_K562_ENCSR121GQH_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SERBP1_K562_ENCSR121GQH.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SERBP1_K562_ENCSR121GQH.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	106	61	282	118.43396226415095	116.5	106	61	282	123.01886792452831	120.0
SF3A1_HepG2_ENCSR317QOX	rnaprot_gt_out/SF3A1_HepG2_ENCSR317QOX_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SF3A1_HepG2_ENCSR317QOX.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SF3A1_HepG2_ENCSR317QOX.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1229	61	336	101.1472742066721	93	1229	61	336	101.29048006509358	93
SF3A3_HepG2_ENCSR331MIC	rnaprot_gt_out/SF3A3_HepG2_ENCSR331MIC_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SF3A3_HepG2_ENCSR331MIC.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SF3A3_HepG2_ENCSR331MIC.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	2025	61	216	99.66172839506173	97	2025	61	216	100.41037037037037	98
SF3B4_HepG2_ENCSR279UJF	rnaprot_gt_out/SF3B4_HepG2_ENCSR279UJF_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SF3B4_HepG2_ENCSR279UJF.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SF3B4_HepG2_ENCSR279UJF.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	5340	61	227	103.01666666666667	101.0	5340	61	223	103.03707865168539	101.0
SF3B4_K562_ENCSR267OLV	rnaprot_gt_out/SF3B4_K562_ENCSR267OLV_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SF3B4_K562_ENCSR267OLV.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SF3B4_K562_ENCSR267OLV.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	8920	61	243	105.46367713004484	103.0	8920	61	243	105.41872197309416	103.0
SFPQ_HepG2_ENCSR965DLL	rnaprot_gt_out/SFPQ_HepG2_ENCSR965DLL_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SFPQ_HepG2_ENCSR965DLL.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SFPQ_HepG2_ENCSR965DLL.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	2321	61	278	112.30633347694959	105	2321	61	278	111.47694959069366	104
SLBP_K562_ENCSR483NOP	rnaprot_gt_out/SLBP_K562_ENCSR483NOP_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SLBP_K562_ENCSR483NOP.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SLBP_K562_ENCSR483NOP.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	79	61	223	85.60759493670886	81	79	61	223	85.75949367088607	84
SLTM_HepG2_ENCSR351PVI	rnaprot_gt_out/SLTM_HepG2_ENCSR351PVI_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SLTM_HepG2_ENCSR351PVI.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SLTM_HepG2_ENCSR351PVI.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	1122	61	315	107.97237076648841	104.0	1122	61	315	107.72014260249554	104.0
SLTM_K562_ENCSR000SSH	rnaprot_gt_out/SLTM_K562_ENCSR000SSH_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SLTM_K562_ENCSR000SSH.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SLTM_K562_ENCSR000SSH.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	3182	61	265	105.21370207416719	101.0	3182	61	265	105.57699560025141	101.0
SMNDC1_HepG2_ENCSR373ODC	rnaprot_gt_out/SMNDC1_HepG2_ENCSR373ODC_varlen_ext20_gt_out	rnaprot_gt_out/pos_neg_fasta_out/SMNDC1_HepG2_ENCSR373ODC.varlen_ext20.positives.bed	rnaprot_gt_out/pos_neg_fasta_out/SMNDC1_HepG2_ENCSR373ODC.varlen_ext20.negatives.bed	--max-len 300 --mode 2 --seq-ext 20 --seed 1	149	61	182	85.57046979865771	80	149	61	153	82.90604026845638	78
