protein_key	protocol	protein_name_native	is_representative	assign_rule
RBM38	rnacompete_eukarya	RBM38	1	exact_base
RBM38	rnacompete_eukarya	Rbm38	0	exact_base
RBM38	rnacompete_rbpzoo	RBM38	1	exact_base
RBM4	htr_selex	RBM4	1	exact_base
RBM4	rbns	RBM4	1	exact_base
RBM4	rnacompete_eukarya	RBM4	1	exact_base
RBM41	rbns	RBM41	1	exact_base
RBM41	rnacompete_eukarya	RBM41	1	exact_base
RBM42	htr_selex	RBM42	1	exact_base
RBM42	rnacompete_eukarya	RBM42	1	exact_base
RBM42	rnacompete_eukarya	Rbm42	0	exact_base
RBM45	rbns	RBM45	1	exact_base
RBM45	rnacompete_eukarya	RBM45	1	exact_base
RBM45	rnacompete_rbpzoo	RBM45	1	exact_base
RBM46	htr_selex	RBM46	1	exact_base
RBM46	rnacompete_eukarya	RBM46	1	exact_base
RBM47	rbns	RBM47	1	exact_base
RBM47	rnacompete_eukarya	RBM47	1	exact_base
RBM47	rnacompete_eukarya	Rbm47	0	exact_base
RBM47	rnacompete_rbpzoo	RBM47	1	exact_base
RBM4B	htr_selex	RBM4B	1	exact_base
RBM4B	rbns	RBM4B	1	exact_base
RBM5	rbns	RBM5	1	exact_base
RBM5	rnacompete_eukarya	RBM5	1	exact_base
RBM6	htr_selex	RBM6	1	exact_base
RBM6	rbns	RBM6	1	exact_base
RBM6	rnacompete_eukarya	RBM6	1	exact_base
RBMS1	htr_selex	RBMS1	1	exact_base
RBMS1	rnacompete_eukarya	RBMS1	1	exact_base
RBMS2	htr_selex	RBMS2	1	exact_base
RBMS2	rbns	RBMS2	1	exact_base
RBMS3	htr_selex	RBMS3	1	exact_base
RBMS3	rbns	RBMS3	1	exact_base
RBMS3	rnacompete_eukarya	RBMS3	1	exact_base
RBPMS2	htr_selex	RBPMS2	1	exact_base
RBPMS2	rnacompete_rbpzoo	RBPMS2	1	exact_base
RC3H1	htr_selex	RC3H1-construct2	1	exact_base
RC3H1	rbns	RC3H1	1	exact_base
RNPC3	htr_selex	RNPC3	1	exact_base
RNPC3	rnacompete_rbpzoo	RNPC3	1	exact_base
SART3	htr_selex	SART3	1	exact_base
SART3	rnacompete_eukarya	SART3	1	exact_base
SART3	rnacompete_rbpzoo	sart3	1	exact_base
SF1	rbns	SF1	1	exact_base
SF1	rnacompete_eukarya	SF1	1	exact_base
SFPQ	rbns	SFPQ	1	exact_base
SFPQ	rnacompete_eukarya	SFPQ	1	exact_base
SNRNP70	htr_selex	SNRNP70	1	exact_base
SNRNP70	rnacompete_eukarya	SNRNP70	1	exact_base
SNRPA	htr_selex	SNRPA	1	exact_base
SNRPA	rbns	SNRPA	1	exact_base
SNRPA	rnacompete_eukarya	SNRPA	1	exact_base
SNRPB2	htr_selex	SNRPB2	1	exact_base
SNRPB2	rbns	SNRPB2	1	exact_base
SNRPB2	rnacompete_rbpzoo	SNRPB2	1	exact_base
SNRPB2	rnacompete_rbpzoo	snrpB2	0	exact_base
SRSF2	rbns	SRSF2	1	exact_base
SRSF2	rnacompete_eukarya	SRSF2	1	exact_base
SRSF9	rbns	SRSF9	1	exact_base
SRSF9	rnacompete_eukarya	SRSF9	1	exact_base
SUP12	rnacompete_eukarya	SUP-12	1	exact_base
SUP12	rnacompete_rbpzoo	sup-12	1	exact_base
TARDBP	htr_selex	TARDBP	1	exact_base
TARDBP	rbns	TARDBP	1	exact_base
TARDBP	rnacompete_eukarya	TARDBP	1	exact_base
TARDBP	rnacompete_rbpzoo	tardbp	1	exact_base
THUMPD1	htr_selex	THUMPD1	1	exact_base
THUMPD1	rbns	THUMPD1	1	exact_base
TIA1	rbns	TIA1	1	exact_base
TIA1	rnacompete_eukarya	TIA1	1	exact_base
TIA1	rnacompete_rbpzoo	TIA1	1	exact_base
TIA1	rnacompete_rbpzoo	tia1	0	exact_base
TRA2B	rbns	TRA2B	1	exact_base
TRA2B	rnacompete_rbpzoo	tra2b	1	exact_base
YBX1	htr_selex	YBX1	1	exact_base
YBX1	rnacompete_eukarya	YBX1	1	exact_base
YBX2	htr_selex	YBX2	1	exact_base
YBX2	rbns	YBX2	1	exact_base
